#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
PF03418	Germination protease
#PF03419	Sporulation factor SpoIIGA
PF03422	Carbohydrate binding module (family 6)
PF03423	Carbohydrate binding domain (family 25)
PF03424	Carbohydrate binding domain (family 17/28)
PF03425	Carbohydrate binding domain (family 11)
#PF03429	Major surface protein 1B
# PF03434	DUF276
PF03435	Saccharopine dehydrogenase NADP binding domain
#PF03441	FAD binding domain of DNA photolyase
#PF03445	Putative nucleotidyltransferase DUF294
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447	Homoserine dehydrogenase, NAD binding domain
PF03450	CO dehydrogenase flavoprotein C-terminal domain
#PF03459	TOBE domain
PF03460	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03473	MOSC domain
#PF03483	B3/4 domain
PF03486	HI0933-like protein
PF03490	Variant-surface-glycoprotein phospholipase C
PF03492	SAM dependent carboxyl methyltransferase
PF03500	Cellulose synthase subunit D
#PF03505	Clostridium enterotoxin
PF03510	2C endopeptidase (C24) cysteine protease family
PF03512	Glycosyl hydrolase family 52
PF03537	Glycoside-hydrolase family GH114
#PF03538	Salmonella virulence plasmid 28.1kDa A protein
PF03539	Spumavirus aspartic protease (A9)
#PF03543	Yersinia/Haemophilus virulence surface antigen
PF03552	Cellulose synthase
PF03559	NDP-hexose 2,3-dehydratase
PF03561	Allantoicase repeat
#PF03562	MltA specific insert domain







PF03567	Sulfotransferase family
PF03568	Peptidase family C50
PF03574	Peptidase family S48
PF03577	Peptidase family C69
PF03583	Secretory lipase
PF03587	EMG1/NEP1 methyltransferase
PF03588	Leucyl/phenylalanyl-tRNA protein transferase
PF03590	Aspartate-ammonia ligase
PF03591	AzlC protein
PF03597	Cytochrome oxidase maturation protein cbb3-type
PF03598	CO dehydrogenase/acetyl-CoA synthase complex beta subunit
PF03602	Conserved hypothetical protein 95
PF03606	C4-dicarboxylate anaerobic carrier
PF03612	Sorbitol phosphotransferase enzyme II N-terminus
PF03616	Sodium/glutamate symporter
PF03618	Kinase/pyrophosphorylase
PF03621	MbtH-like protein
PF03623	Focal adhesion targeting region
PF03630	Fumble
PF03639	Glycosyl hydrolase family 81
PF03640	Secreted repeat of unknown function
PF03642	MAP domain
PF03644	Glycosyl hydrolase family 85
PF03648	Glycosyl hydrolase family 67 N-terminus
PF03649	Uncharacterised protein family (UPF0014)
PF03662	Glycosyl hydrolase family 79, N-terminal domain
PF03664	Glycosyl hydrolase family 62
PF03695	Uncharacterised protein family (UPF0149)
PF03702	Anhydro-N-acetylmuramic acid kinase
PF03706	Lysylphosphatidylglycerol synthase TM region
PF03709	Orn/Lys/Arg decarboxylase, N-terminal domain
PF03710	Glutamate-ammonia ligase adenylyltransferase
#PF03713	Domain of unknown function (DUF305)
PF03714	Bacterial pullanase-associated domain
PF03717	Penicillin-binding Protein dimerisation domain
PF03718	Glycosyl hydrolase family 49
PF03720	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF03721	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF03727	Hexokinase
PF03734	L,D-transpeptidase catalytic domain
PF03737	Aldolase/RraA
PF03738	Glutathionylspermidine synthase preATP-grasp
PF03740	Pyridoxal phosphate biosynthesis protein PdxJ
PF03744	6-carboxyhexanoate--CoA ligase
#PF03745	Domain of unknown function (DUF309)
PF03747	ADP-ribosylglycohydrolase
PF03756	A-factor biosynthesis hotdog domain
PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF03770	Inositol polyphosphate kinase
#PF03771	Domain of unknown function (DUF317)
PF03773	Predicted permease
#PF03777	Small secreted domain (DUF320)
PF03780	Asp23 family, cell envelope-related function
PF03781	Sulfatase-modifying factor enzyme 1
PF03785	Peptidase family C25, C terminal ig-like domain
PF03786	D-mannonate dehydratase (UxuA)
PF03795	YCII-related domain
PF03802	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
PF03807	NADP oxidoreductase coenzyme F420-dependent
PF03808	Glycosyl transferase WecB/TagA/CpsF family
PF03814	Potassium-transporting ATPase A subunit
PF03819	MazG nucleotide pyrophosphohydrolase domain
PF03829	PTS system glucitol/sorbitol-specific IIA component
PF03830	PTS system sorbose subfamily IIB component
PF03848	Tellurite resistance protein TehB
PF03853	YjeF-related protein N-terminus
PF03856	Beta-glucosidase (SUN family)
PF03881	Fructosamine kinase
PF03894	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
PF03900	Porphobilinogen deaminase, C-terminal domain
PF03901	Alg9-like mannosyltransferase family
PF03916	Polysulphide reductase, NrfD
PF03917	Eukaryotic glutathione synthase, ATP binding domain
PF03928	Haem-degrading
PF03929	PepSY-associated TM region
PF03936	Terpene synthase family, metal binding domain
PF03949	Malic enzyme, NAD binding domain
PF03951	Glutamine synthetase, beta-Grasp domain
PF03952	Enolase, N-terminal domain
PF03959	Serine hydrolase (FSH1)
PF03960	ArsC family
PF03967	Photosynthetic reaction centre, H-chain N-terminal region
PF03969	AFG1-like ATPase
PF03971	Monomeric isocitrate dehydrogenase
PF03972	MmgE/PrpD family
PF03975	CheD chemotactic sensory transduction
PF03977	Na+-transporting oxaloacetate decarboxylase beta subunit
PF03982	Diacylglycerol acyltransferase
#PF03988	Repeat of Unknown Function (DUF347)
PF03992	Antibiotic biosynthesis monooxygenase
#PF03994	Domain of Unknown Function (DUF350)
PF03996	Hemagglutinin esterase
#PF04007	Protein of unknown function (DUF354)
PF04012	PspA/IM30 family
PF04013	Putative SAM-dependent RNA methyltransferase
#PF04015	Domain of unknown function (DUF362)
PF04016	Putative heavy-metal chelation
PF04020	Mycobacterial 4 TMS phage holin, superfamily IV
#PF04027	Domain of unknown function (DUF371)
PF04029	2-phosphosulpholactate phosphatase
PF04030	D-arabinono-1,4-lactone oxidase
PF04043	Plant invertase/pectin methylesterase inhibitor
PF04055	Radical SAM superfamily
PF04072	Leucine carboxyl methyltransferase
PF04075	F420H(2)-dependent quinone reductase
PF04083	Partial alpha/beta-hydrolase lipase region
PF04095	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04101	Glycosyltransferase family 28 C-terminal domain
PF04102	SlyX
PF04104	Eukaryotic and archaeal DNA primase, large subunit
PF04107	Glutamate-cysteine ligase family 2(GCS2)
PF04115	Ureidoglycolate lyase
PF04116	Fatty acid hydroxylase superfamily
PF04127	DNA / pantothenate metabolism flavoprotein
PF04131	Putative N-acetylmannosamine-6-phosphate epimerase
#PF04134	Protein of unknown function, DUF393
PF04137	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF04138	GtrA-like protein
PF04140	Isoprenylcysteine carboxyl methyltransferase (ICMT) family
#PF04149	Domain of unknown function (DUF397)
PF04166	Pyridoxal phosphate biosynthetic protein PdxA
#PF04167	Protein of unknown function (DUF402)
PF04182	B-block binding subunit of TFIIIC
PF04183	IucA / IucC family
PF04185	Phosphoesterase family
PF04188	Mannosyltransferase (PIG-V)
PF04191	Phospholipid methyltransferase
PF04193	PQ loop repeat
PF04198	Putative sugar-binding domain
PF04199	Putative cyclase
PF04204	Homoserine O-succinyltransferase
PF04206	Tetrahydromethanopterin S-methyltransferase, subunit E
PF04207	Tetrahydromethanopterin S-methyltransferase, subunit D
PF04208	Tetrahydromethanopterin S-methyltransferase, subunit A
PF04209	homogentisate 1,2-dioxygenase
PF04210	Tetrahydromethanopterin S-methyltransferase, subunit G
PF04211	Tetrahydromethanopterin S-methyltransferase, subunit C
PF04216	Protein involved in formate dehydrogenase formation
PF04223	Citrate lyase, alpha subunit (CitF)
#PF04224	Protein of unknown function, DUF417
PF04226	Transglycosylase associated protein
PF04227	Indigoidine synthase A like protein
PF04230	Polysaccharide pyruvyl transferase
PF04231	Endonuclease I
PF04234	CopC domain
PF04237	YjbR
PF04240	Carotenoid biosynthesis protein
#PF04241	Protein of unknown function (DUF423)
#PF04250	Protein of unknown function (DUF429)
#PF04255	Protein of unknown function (DUF433)
PF04258	Signal peptide peptidase
PF04261	Dyp-type peroxidase family
PF04262	Glutamate-cysteine ligase
PF04263	Thiamin pyrophosphokinase, catalytic domain
PF04264	YceI-like domain
PF04265	Thiamin pyrophosphokinase, vitamin B1 binding domain
PF04267	Sarcosine oxidase, delta subunit family
PF04273	Putative phosphatase (DUF442)
PF04275	Phosphomevalonate kinase
PF04277	Oxaloacetate decarboxylase, gamma chain
#PF04286	Protein of unknown function (DUF445)
PF04294	VanW like protein
PF04295	D-galactarate dehydratase / Altronate hydrolase, C terminus
PF04299	Putative FMN-binding domain
#PF04304	Protein of unknown function (DUF454)
PF04307	LexA-binding, inner membrane-associated putative hydrolase
PF04320	Protein with unknown function (DUF469)
PF04324	BFD-like [2Fe-2S] binding domain
#PF04325	Protein of unknown function (DUF465)
PF04326	Putative DNA-binding domain
PF04328	Selenoprotein, putative
PF04336	Acyl carrier protein phosphodiesterase
#PF04337	Protein of unknown function, DUF480
PF04345	Chorismate lyase
PF04352	ProQ/FINO family
PF04357	TamB, inner membrane protein subunit of TAM complex
#PF04363	Protein of unknown function (DUF496)
PF04366	Las17-binding protein actin regulator
PF04371	Porphyromonas-type peptidyl-arginine deiminase
PF04376	Arginine-tRNA-protein transferase, N terminus
PF04377	Arginine-tRNA-protein transferase, C terminus
PF04378	Ribosomal RNA large subunit methyltransferase D, RlmJ
#PF04405	Domain of Unknown function (DUF542)
PF04413	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF04414	D-aminoacyl-tRNA deacylase
PF04422	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term
PF04428	Choline kinase N terminus
PF04431	Pectate lyase, N terminus
PF04432	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF04434	SWIM zinc finger
PF04443	Acyl-protein synthetase, LuxE
PF04444	Catechol dioxygenase N terminus
PF04446	tRNAHis guanylyltransferase
#PF04448	Protein of unknown function (DUF551)
#PF04452	RNA methyltransferase
PF04454	Encapsulating protein for peroxidase
#PF04461	Protein of unknown function (DUF520)
PF04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
#PF04472	Cell division protein SepF
#PF04480	Protein of unknown function (DUF559)
PF04486	SchA/CurD like domain
PF04488	Glycosyltransferase sugar-binding region containing DXD motif
PF04509	CheC-like family
PF04548	AIG1 family
PF04551	GcpE protein
PF04573	Signal peptidase subunit
#PF04574	Protein of unknown function (DUF592)
#PF04577	Protein of unknown function (DUF563)
PF04587	ADP-specific Phosphofructokinase/Glucokinase conserved region
PF04597	Ribophorin I
PF04604	Type-A lantibiotic
PF04606	Ogr/Delta-like zinc finger
PF04607	Region found in RelA / SpoT proteins
PF04608	Phosphatidylglycerophosphatase A
PF04610	TrbL/VirB6 plasmid conjugal transfer protein
PF04613	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD
PF04616	Glycosyl hydrolases family 43
#PF04645	Protein of unknown function, DUF603
PF04647	Accessory gene regulator B
PF04655	Aminoglycoside/hydroxyurea antibiotic resistance kinase
PF04657	Putative inner membrane exporter, YdcZ
PF04666	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
PF04672	S-adenosyl methyltransferase
PF04673	Polyketide synthesis cyclase
PF04685	Glycosyl-hydrolase family 116, catalytic region
PF04705	Thiostrepton-resistance methylase, N terminus
PF04715	Anthranilate synthase component I, N terminal region
PF04716	ETC complex I subunit conserved region
PF04722	Ssu72-like protein
PF04723	Glycine reductase complex selenoprotein A
PF04724	Glycosyltransferase family 17
PF04733	Coatomer epsilon subunit
PF04734	Neutral/alkaline non-lysosomal ceramidase, N-terminal
PF04738	Lantibiotic dehydratase, C terminus
#PF04746	Protein of unknown function (DUF575)
#PF04763	Protein of unknown function (DUF562)
PF04768	NAT, N-acetyltransferase, of N-acetylglutamate synthase
PF04777	Erv1 / Alr family
PF04794	YdjC-like protein
PF04800	ETC complex I subunit conserved region
PF04805	E10-like protein conserved region
PF04816	tRNA (adenine(22)-N(1))-methyltransferase
PF04820	Tryptophan halogenase
PF04827	Plant transposon protein
PF04828	Glutathione-dependent formaldehyde-activating enzyme
PF04843	Herpesvirus tegument protein, N-terminal conserved region
PF04848	Poxvirus A22 protein
PF04851	Type III restriction enzyme, res subunit
PF04863	Alliinase EGF-like domain
PF04864	Allinase
#PF04867	Protein of unknown function (DUF643)
PF04868	Retinal cGMP phosphodiesterase, gamma subunit
PF04879	Molybdopterin oxidoreductase Fe4S4 domain
PF04885	Stigma-specific protein, Stig1
PF04892	VanZ like family
PF04898	Glutamate synthase central domain
PF04900	Fcf1
PF04909	Amidohydrolase
PF04914	DltD protein
PF04922	DIE2/ALG10 family
PF04926	Poly(A) polymerase predicted RNA binding domain
PF04928	Poly(A) polymerase central domain
PF04932	O-Antigen ligase
PF04945	YHS domain
PF04952	Succinylglutamate desuccinylase / Aspartoacylase family
PF04954	Siderophore-interacting protein
PF04956	TrbC/VIRB2 family
PF04958	Arginine N-succinyltransferase beta subunit
PF04960	Glutaminase
PF04961	Formiminotransferase-cyclodeaminase
PF04962	KduI/IolB family
PF04971	Bacteriophage P21 holin S
PF04972	BON domain
PF04977	Septum formation initiator
#PF04978	Protein of unknown function (DUF664)
PF04987	Phosphatidylinositolglycan class N (PIG-N)
PF04989	Cephalosporin hydroxylase
PF04991	LicD family
PF04993	TfoX N-terminal domain
PF04996	Succinylarginine dihydrolase
PF05007	Mannosyltransferase (PIG-M)
PF05011	Lariat debranching enzyme, C-terminal domain
PF05014	Nucleoside 2-deoxyribosyltransferase
PF05019	Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF05023	Phytochelatin synthase
PF05024	N-acetylglucosaminyl transferase component (Gpi1)
PF05025	RbsD / FucU transport protein family
PF05026	Dcp2, box A domain
PF05028	Poly (ADP-ribose) glycohydrolase (PARG)
PF05033	Pre-SET motif
PF05034	Methylaspartate ammonia-lyase N-terminus
PF05035	2-keto-3-deoxy-galactonokinase
PF05045	Rhamnan synthesis protein F
PF05047	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
PF05057	Putative serine esterase (DUF676)
PF05060	N-acetylglucosaminyltransferase II (MGAT2)
PF05063	MT-A70
PF05067	Manganese containing catalase
#PF05085	Protein of unknown function (DUF685)
PF05088	Bacterial NAD-glutamate dehydrogenase
PF05090	Vitamin K-dependent gamma-carboxylase
PF05096	Glutamine cyclotransferase
PF05102	holin, BlyA family
PF05103	DivIVA protein
#PF05108	Type VII secretion system ESX-1, transport TM domain B
#PF05113	Protein of unknown function (DUF693)
PF05116	Sucrose-6F-phosphate phosphohydrolase
PF05118	Aspartyl/Asparaginyl beta-hydroxylase
PF05138	Phenylacetic acid catabolic protein
PF05139	Erythromycin esterase
PF05140	ResB-like family
PF05141	Pyoverdine/dityrosine biosynthesis protein
PF05147	Lanthionine synthetase C-like protein
PF05148	Hypothetical methyltransferase
PF05153	Myo-inositol oxygenase
PF05157	Type II secretion system (T2SS), protein E, N-terminal domain
PF05159	Capsule polysaccharide biosynthesis protein
PF05163	DinB family
PF05165	GTP cyclohydrolase III
PF05173	Dihydrodipicolinate reductase, C-terminus
PF05175	Methyltransferase small domain
PF05185	PRMT5 arginine-N-methyltransferase
PF05187	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S
PF05188	MutS domain II
PF05190	MutS family domain IV
PF05191	Adenylate kinase, active site lid
PF05192	MutS domain III
PF05194	UreE urease accessory protein, C-terminal domain
PF05195	Aminopeptidase P, N-terminal domain
PF05199	GMC oxidoreductase
PF05206	Methyltransferase TRM13
PF05208	ALG3 protein
PF05221	S-adenosyl-L-homocysteine hydrolase
PF05222	Alanine dehydrogenase/PNT, N-terminal domain
PF05240	APOBEC-like C-terminal domain
PF05241	Emopamil binding protein
#PF05246	Protein of unknown function (DUF735)
PF05257	CHAP domain
PF05262	Borrelia P83/100 protein
PF05270	Alpha-L-arabinofuranosidase B (ABFB) domain
PF05277	Protein of unknown function (DUF726)
PF05289	Borrelia hemolysin accessory protein
PF05292	Malonyl-CoA decarboxylase C-terminal domain
PF05301	GNAT acetyltransferase, Mec-17
PF05305	Protein of unknown function (DUF732)
PF05309	TraE protein
PF05331	Protein of unknown function (DUF742)
PF05336	L-rhamnose mutarotase
PF05342	M26 IgA1-specific Metallo-endopeptidase N-terminal region
PF05344	Domain of Unknown Function (DUF746)
PF05351	GMP-PDE, delta subunit
PF05362	Lon protease (S16) C-terminal proteolytic domain
PF05369	Monomethylamine methyltransferase MtmB
PF05373	L-proline 3-hydroxylase, C-terminal
PF05379	Carlavirus endopeptidase
PF05381	Tymovirus endopeptidase
PF05388	Carboxypeptidase Y pro-peptide
PF05392	Cytochrome C oxidase chain VIIB
PF05401	Nodulation protein S (NodS)
PF05402	Coenzyme PQQ synthesis protein D (PqqD)
PF05407	Rubella virus endopeptidase
PF05408	Foot-and-mouth virus L-proteinase
PF05410	Porcine arterivirus-type cysteine proteinase alpha
PF05411	Equine arteritis virus putative proteinase
PF05416	Southampton virus-type processing peptidase
PF05420	Cellulose synthase operon protein C C-terminus (BCSC_C)
PF05421	Protein of unknown function (DUF751)
PF05425	Copper resistance protein D
PF05426	Alginate lyase
PF05430	S-adenosyl-L-methionine-dependent methyltransferase
PF05440	Tetrahydromethanopterin S-methyltransferase subunit B
PF05448	Acetyl xylan esterase (AXE1)
PF05449	Putative 3TM holin, Phage_holin_3
PF05497	Destabilase
PF05523	WxcM-like, C-terminal
PF05534	HicB family
PF05537	Borrelia burgdorferi protein of unknown function (DUF759)
PF05543	Staphopain peptidase C47
PF05544	Proline racemase
PF05547	Immune inhibitor A peptidase M6
PF05561	Borrelia burgdorferi protein of unknown function (DUF764)
PF05575	Vibrio cholerae RfbT protein
PF05578	Pestivirus NS3 polyprotein peptidase S31
PF05579	Equine arteritis virus serine endopeptidase S32
PF05592	Bacterial alpha-L-rhamnosidase concanavalin-like domain
PF05595	Domain of unknown function (DUF771)
PF05597	Poly(hydroxyalcanoate) granule associated protein (phasin)
PF05606	Borrelia burgdorferi protein of unknown function (DUF777)
PF05616	Neisseria meningitidis TspB protein
PF05619	Borrelia burgdorferi protein of unknown function (DUF787)
PF05621	Bacterial TniB protein
PF05628	Borrelia membrane protein P13
PF05632	Borrelia burgdorferi protein of unknown function (DUF792)
PF05637	galactosyl transferase GMA12/MNN10 family
PF05651	Putative sugar diacid recognition
PF05652	Scavenger mRNA decapping enzyme (DcpS) N-terminal
PF05653	Magnesium transporter NIPA
PF05656	Protein of unknown function (DUF805)
PF05676	NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7)
PF05679	Chondroitin N-acetylgalactosaminyltransferase
PF05681	Fumarate hydratase (Fumerase)
PF05683	Fumarase C-terminus
PF05685	Putative restriction endonuclease
PF05686	Glycosyl transferase family 90
PF05690	Thiazole biosynthesis protein ThiG
PF05691	Raffinose synthase or seed imbibition protein Sip1
PF05693	Glycogen synthase
PF05704	Capsular polysaccharide synthesis protein
PF05706	Cyclin-dependent kinase inhibitor 3 (CDKN3)
PF05707	Zonular occludens toxin (Zot)
PF05711	Macrocin-O-methyltransferase (TylF)
PF05717	IS66 Orf2 like protein
PF05721	Phytanoyl-CoA dioxygenase (PhyH)
PF05724	Thiopurine S-methyltransferase (TPMT)
PF05726	Pirin C-terminal cupin domain
PF05738	Cna protein B-type domain
PF05761	5' nucleotidase family
PF05768	Glutaredoxin-like domain (DUF836)
PF05770	Inositol 1, 3, 4-trisphosphate 5/6-kinase
PF05791	Bacillus haemolytic enterotoxin (HBL)
PF05821	NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8)
PF05822	Pyrimidine 5'-nucleotidase (UMPH-1)
PF05826	Phospholipase A2
PF05830	Nodulation protein Z (NodZ)
PF05834	Lycopene cyclase protein
PF05838	Glycosyl hydrolase 108
PF05853	beta-keto acid cleavage enzyme
PF05857	TraX protein
PF05870	Phenolic acid decarboxylase (PAD)
PF05872	Bacterial protein of unknown function (DUF853)
PF05875	Ceramidase
PF05881	2',3'-cyclic nucleotide 3'-phosphodiesterase (CNP or CNPase)
PF05889	O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS
PF05891	AdoMet dependent proline di-methyltransferase
PF05893	Acyl-CoA reductase (LuxC)
PF05896	Na(+)-translocating NADH-quinone reductase subunit A (NQRA)
PF05899	Protein of unknown function (DUF861)
PF05917	Helicobacter pylori protein of unknown function (DUF874)
PF05925	Enterobacterial virulence protein IpgD
PF05933	Fungal ATP synthase protein 8 (A6L)
PF05935	Arylsulfotransferase (ASST)
PF05957	Bacterial protein of unknown function (DUF883)
PF05958	tRNA (Uracil-5-)-methyltransferase
PF05960	Bacterial protein of unknown function (DUF885)
PF05971	Protein of unknown function (DUF890)
PF05974	Domain of unknown function (DUF892)
PF05985	Ethanolamine ammonia-lyase light chain (EutC)
PF05986	ADAM-TS Spacer 1
PF05988	Bacterial protein of unknown function (DUF899)
PF05990	Alpha/beta hydrolase of unknown function (DUF900)
PF05991	YacP-like NYN domain
PF05995	Cysteine dioxygenase type I
PF05996	Ferredoxin-dependent bilin reductase
PF06002	Alpha-2,3-sialyltransferase (CST-I)
PF06004	Bacterial protein of unknown function (DUF903)
PF06007	Phosphonate metabolism protein PhnJ
PF06013	Proteins of 100 residues with WXG
PF06021	Aralkyl acyl-CoA:amino acid N-acyltransferase
PF06026	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF06028	Alpha/beta hydrolase of unknown function (DUF915)
PF06039	Malate:quinone oxidoreductase (Mqo)
PF06052	3-hydroxyanthranilic acid dioxygenase
PF06056	Putative ATPase subunit of terminase (gpP-like)
PF06071	Protein of unknown function (DUF933)
PF06079	Apyrase
PF06080	Protein of unknown function (DUF938)
PF06085	Lipoprotein Rz1 precursor
PF06087	Tyrosyl-DNA phosphodiesterase
PF06089	L-asparaginase II
PF06090	Inositol-pentakisphosphate 2-kinase
PF06094	Gamma-glutamyl cyclotransferase, AIG2-like
PF06100	MCRA family
PF06103	Bacterial protein of unknown function (DUF948)
PF06106	S. aureus uracil DNA glycosylase inhibitor
PF06114	IrrE N-terminal-like domain
PF06124	Staphylococcal protein of unknown function (DUF960)
PF06130	Phosphate propanoyltransferase
PF06134	L-rhamnose isomerase (RhaA)
PF06146	Phosphate-starvation-inducible E
PF06147	Protein of unknown function (DUF968)
PF06157	Protein of unknown function (DUF973)
PF06163	Bacterial protein of unknown function (DUF977)
PF06165	Glycosyltransferase family 36
PF06169	Protein of unknown function (DUF982)
PF06172	Cupin superfamily (DUF985)
PF06176	Lipopolysaccharide core biosynthesis protein (WaaY)
PF06178	Oligogalacturonate-specific porin protein (KdgM)
PF06180	Cobalt chelatase (CbiK)
PF06189	5'-nucleotidase
PF06191	Protein of unknown function (DUF995)
PF06202	Amylo-alpha-1,6-glucosidase
PF06207	Protein of unknown function (DUF1002)
PF06224	Winged helix DNA-binding domain
PF06228	Haem utilisation ChuX/HutX
PF06236	Tyrosinase co-factor MelC1
PF06238	Borrelia burgdorferi BBR25 lipoprotein
PF06240	Carbon monoxide dehydrogenase subunit G (CoxG)
PF06242	Protein of unknown function (DUF1013)
PF06249	Ethanolamine utilisation protein EutQ
PF06250	Protein of unknown function (DUF1016)
PF06251	Capsule biosynthesis GfcC
PF06253	Trimethylamine methyltransferase (MTTB)
PF06254	Putative bacterial toxin ydaT
PF06259	Alpha/beta hydrolase
PF06280	Fn3-like domain
PF06291	Bor protein
PF06293	Lipopolysaccharide kinase (Kdo/WaaP) family
PF06298	Photosystem II protein Y (PsbY)
PF06305	Lipopolysaccharide assembly protein A domain
PF06306	Beta-1,4-N-acetylgalactosaminyltransferase (CgtA)
PF06314	Acetoacetate decarboxylase (ADC)
PF06315	Isocitrate dehydrogenase kinase/phosphatase (AceK)
PF06327	Domain of Unknown Function (DUF1053)
PF06330	Trichodiene synthase (TRI5)
PF06339	Ectoine synthase
PF06350	Hormone-sensitive lipase (HSL) N-terminus
PF06351	Allene oxide cyclase
PF06368	Methylaspartate mutase E chain (MutE)
PF06374	NADH-ubiquinone oxidoreductase subunit b14.5b (NDUFC2)
PF06381	Protein of unknown function (DUF1073)
PF06406	StbA protein
PF06414	Zeta toxin
PF06415	BPG-independent PGAM N-terminus (iPGM_N)
PF06418	CTP synthase N-terminus
PF06423	GWT1
PF06426	Serine acetyltransferase, N-terminal
PF06427	UDP-glucose:Glycoprotein Glucosyltransferase
PF06432	Phosphatidylinositol N-acetylglucosaminyltransferase
PF06433	Methylamine dehydrogenase heavy chain (MADH)
PF06434	Aconitate hydratase 2 N-terminus
PF06437	IMP-specific 5'-nucleotidase
PF06439	Domain of Unknown Function (DUF1080)
PF06441	Epoxide hydrolase N terminus
PF06442	R67 dihydrofolate reductase
PF06444	NADH dehydrogenase subunit 2 C-terminus
PF06449	Mitochondrial domain of unknown function (DUF1082)
PF06452	Carbohydrate family 9 binding domain-like
PF06455	NADH dehydrogenase subunit 5 C-terminus
PF06458	MucBP domain
PF06463	Molybdenum Cofactor Synthesis C
PF06466	PCAF (P300/CBP-associated factor) N-terminal domain
PF06470	SMC proteins Flexible Hinge Domain
PF06471	NSP11
PF06480	FtsH Extracellular
PF06481	COX Aromatic Rich Motif
PF06491	Disulphide isomerase
PF06496	Protein of unknown function (DUF1097)
PF06500	Alpha/beta hydrolase of unknown function (DUF1100)
PF06519	TolA C-terminal
PF06526	Protein of unknown function (DUF1107)
PF06551	Protein of unknown function (DUF1120)
PF06559	2'-deoxycytidine 5'-triphosphate deaminase (DCD)
PF06560	Glucose-6-phosphate isomerase (GPI)
PF06568	Domain of unknown function (DUF1127)
PF06570	Protein of unknown function (DUF1129)
PF06574	FAD synthetase
PF06575	Protein of unknown function (DUF1132)
PF06576	Protein of unknown function (DUF1133)
PF06580	Histidine kinase
PF06597	Clostridium P-47 protein
PF06603	UpxZ family of transcription anti-terminator antagonists
PF06617	M-phase inducer phosphatase
PF06628	Catalase-related immune-responsive
PF06631	Protein of unknown function (DUF1154)
PF06645	Microsomal signal peptidase 12 kDa subunit (SPC12)
PF06662	D-glucuronyl C5-epimerase C-terminus
PF06695	Putative small multi-drug export protein
PF06698	Protein of unknown function (DUF1192)
PF06703	Microsomal signal peptidase 25 kDa subunit (SPC25)
PF06722	Protein of unknown function (DUF1205)
PF06723	MreB/Mbl protein
PF06724	Domain of Unknown Function (DUF1206)
PF06725	3D domain
PF06737	Transglycosylase-like domain
PF06738	Putative threonine/serine exporter
PF06742	Protein of unknown function (DUF1214)
PF06751	Ethanolamine ammonia lyase large subunit (EutB)
PF06772	Bacterial low temperature requirement A protein (LtrA)
PF06778	Chlorite dismutase
PF06779	Uncharacterised MFS-type transporter YbfB
PF06780	Erp protein C-terminus
PF06821	Serine hydrolase
PF06831	Formamidopyrimidine-DNA glycosylase H2TH domain
PF06833	Malonate decarboxylase gamma subunit (MdcE)
PF06848	Disaggregatase related repeat
PF06849	Protein of unknown function (DUF1246)
PF06859	Bicoid-interacting protein 3 (Bin3)
